,kegg_hit,viral_hit,viral_identity,peptidase_hit,peptidase_identity,pfam_hits,cazy_hits,vogdb_hits
AmNV_58,,YP_002321425.1 GrBNV_gp06-like protein [Oryctes rhinoceros nudivirus],0.291,,,,,REFSEQ GrBNV_gp06-like protein; Xu
AmNV_59,,YP_009553453.1 odv-e56 [Tomelloso virus],0.486,,,"Baculoviral E56 protein, specific to ODV envelope [PF04639.15]",,sp|P41705|PIF5_NPVAC Per os infectivity factor 5; XhXs
AmNV_60,,,,,,Matrixin [PF00413.27]; Peptidase family M54 [PF07998.14],,
AmNV_62,,YP_009553447.1 GrBNV gp43-like protein [Tomelloso virus],0.207,,,,,REFSEQ GrBNV_gp43-like protein; Xu
AmNV_63,,YP_002321398.1 38K protein [Oryctes rhinoceros nudivirus],0.477,,,Protein of unknown function (DUF705) [PF05152.15],,sp|P41729|Y098_GVCL Uncharacterized 41.0 kDa protein in P143-LEF5 intergenic region; Xu
AmNV_65,,YP_002321401.1 GrBNV_gp28-like protein [Oryctes rhinoceros nudivirus],0.249,,,,,REFSEQ GrBNV_gp28-like protein; Xu
AmNV_66,,YP_009165944.1 hypothetical protein APL35_gp193 [Apis mellifera filamentous virus],0.471,,,"Lytic polysaccharide mono-oxygenase, cellulose-degrading [PF03067.18]; Chitin binding Peritrophin-A domain [PF01607.27]; Family of unknown function (DUF5346) [PF17281.5]","AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); some proteins have been shown to act on chitin, others on cellulose; lytic cellulose monooxygenase (C1-hydroxylating) (EC 1.14.99.54); lytic cellulose monooxygenase (C4-dehydrogenating)(EC 1.14.99.56); lytic chitin monooxygenase (EC 1.14.99.53); lytic xylan monooxygenase / xylan oxidase (glycosidic bond-cleaving) (EC 1.14.99.-)",
AmNV_68,chitinase [EC:3.2.1.14],YP_009665343.1 chitinase [Paramecium bursaria Chlorella virus NYs1],0.232,,,Glycosyl hydrolases family 18 [PF00704.31],GH18 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-); Nod factor hydrolase (EC 3.2.1.-); xylanase inhibitor; concanavalin B; narbonin; dIota;-N-acetylchitobiase / reducing-end exo-hexosaminidase (EC 3.2.1.-); chitobiosidase (EC 3.2.1.200),sp|P07254|CHIA_SERMA Chitinase A; Xh
AmNV_69,thymidylate synthase [EC:2.1.1.45],YP_002321317.1 thymidylate synthase/pyrimidine hydroxymethylase-like protein [Oryctes rhinoceros nudivirus],0.552,,,Thymidylate synthase [PF00303.22],,sp|P00471|TYSY_BPT4 Thymidylate synthase; Xr
AmNV_70,,YP_009553381.1 OrNV gp005-like protein [Tomelloso virus],0.397,,,,,REFSEQ hypothetical protein; Xu
AmNV_72,chitinase [EC:3.2.1.14],YP_009325637.1 Chitinase [Only Syngen Nebraska virus 5],0.266,,,Glycosyl hydrolases family 18 [PF00704.31]; Chitin binding Peritrophin-A domain [PF01607.27],GH18 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-); Nod factor hydrolase (EC 3.2.1.-); xylanase inhibitor; concanavalin B; narbonin; dIota;-N-acetylchitobiase / reducing-end exo-hexosaminidase (EC 3.2.1.-); chitobiosidase (EC 3.2.1.200),
AmNV_73,,YP_009551714.1 putative Ac81-like protein [Esparto virus],0.495,,,Baculoviridae AC81 [PF05820.14],,sp|O10334|Y081_NPVOP Uncharacterized 24.9 kDa protein; Xu
AmNV_74,,YP_009551713.1 putative gp13-like protein [Esparto virus],0.465,,,,,REFSEQ GrBNV_gp13-like protein; Xu
AmNV_75,,YP_009551712.1 putative trypsin-like serine protease-like protein [Esparto virus],0.226,MER0684565 - subfamily S1A non-peptidase homologues (Bactrocera cucurbitae) [S01.UNA]#S01A#{peptidase unit: 52-318}~source XP_011189220~,0.223,Trypsin [PF00089.29],,
AmNV_76,,YP_009345924.1 ACH96131.1 dnapol B-like protein [Kallithea virus],0.429,,,"DNA polymerase family B, exonuclease domain [PF03104.22]; DNA polymerase family B [PF00136.24]; RNase_H superfamily [PF13482.9]",,sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase; XhXr
AmNV_78,,YP_002321405.1 hypothetical protein OrNV_gp094 [Oryctes rhinoceros nudivirus],0.399,,,,,REFSEQ ACH96224.1 OrNV gp094-like protein; Xu
AmNV_79,,YP_009551720.1 putative gp09-like protein [Esparto virus],0.506,,,,,REFSEQ GrBNV_gp09-like protein; Xu
AmNV_80,,YP_009021109.1 membrane-type matrix metallopeptidase-1 [Anopheles minimus iridovirus],0.272,MER1205737 - subfamily M10A unassigned peptidases (Cimex lectularius) [M10.UPA]#M10A#{peptidase unit: 122-283}~source XP_014246495~,0.465,Matrixin [PF00413.27]; Astacin (Peptidase family M12A) [PF01400.27],,sp|A4KX75|MMP_HVAVE Putative matrix metalloproteinase; Xh
AmNV_81,,YP_009551719.1 lef-9 [Esparto virus],0.492,,,,,
AmNV_82,,YP_009551719.1 lef-9 [Esparto virus],0.519,,,,,sp|P41465|LEF9_NPVAC DNA-directed RNA polymerase subunit LEF-9; Xu
AmNV_85,,YP_002321323.1 odv-e66 [Oryctes rhinoceros nudivirus],0.321,,,"Polysaccharide lyase family 8, N terminal alpha-helical domain [PF08124.14]",PL23 chondroitin lyase (EC 4.2.2.-);,sp|P89518|OE66_NPVLS Occlusion-derived virus envelope protein E66; Xs
AmNV_87,,YP_009345925.1 ACH96267.1 GrBNV gp17-like protein [Kallithea virus],0.409,,,,,REFSEQ hypothetical protein; Xu
AmNV_88,,YP_009553133.1 hypothetical protein DiNV_CH01M_ORF64 [Drosophila innubila nudivirus],0.425,,,,,REFSEQ hypothetical protein; Xu
AmNV_89,,YP_009553414.1 GrBNV gp19-like protein [Tomelloso virus],0.407,,,,,sp|Q5UQ83|YR526_MIMIV Putative alpha/beta hydrolase R526; Xs
AmNV_90,,YP_009345985.1 ACH96175.1 GrBNV gp23-like protein [Kallithea virus],0.358,,,,,REFSEQ GrBNV_gp22-like protein; Xu
AmNV_91,,YP_009553411.1 GrBNV gp23-like protein [Tomelloso virus],0.407,,,,,REFSEQ GrBNV_gp23-like protein; Xu
AmNV_93,,YP_009553410.1 GrBNV gp97-like protein [Tomelloso virus],0.343,,,,,REFSEQ GrBNV_gp97-like protein; Xu
AmNV_94,,YP_009345982.1 ACH96172.1 lef-4-like protein [Kallithea virus],0.456,,,,,sp|P41477|LEF4_NPVAC DNA-dependent RNA polymerase subunit LEF-4; Xu
AmNV_96,,YP_009553407.1 GrBNV gp94-like protein [Tomelloso virus],0.353,,,,,REFSEQ GrBNV_gp94-like protein; Xu
AmNV_97,,YP_009553079.1 GrBNV_gp93-like protein [Drosophila innubila nudivirus],0.491,,,,,REFSEQ GrBNV_gp93-like protein; Xu
AmNV_102,,YP_009553076.1 DNA helicase [Drosophila innubila nudivirus],0.337,,,,,REFSEQ helicase; Xu
AmNV_103,,YP_009553401.1 19 kDa protein [Tomelloso virus],0.652,,,Baculovirus 19 kDa protein conserved region [PF04798.15],,sp|Q83951|Y096_NPVOP Uncharacterized 19.4 kDa protein; Xu
AmNV_104,,YP_009551741.1 ribonucleotide reductase large subunit [Esparto virus],0.454,,,"Ribonucleotide reductase, barrel domain [PF02867.18]",,sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; Xh
AmNV_105,,,,,,,,REFSEQ lef-3; Xu
AmNV_106,NTE family protein,YP_002321368.1 patatin-like phospholipase-like protein [Oryctes rhinoceros nudivirus],0.304,,,Patatin-like phospholipase [PF01734.25],,sp|Q5UQP2|YL446_MIMIV Uncharacterized protein L446; Xh
AmNV_107,,YP_009553090.1 GrBNV_gp84-like protein [Drosophila innubila nudivirus],0.279,,,,,REFSEQ GrBNV_gp84-like protein; Xu
AmNV_108,,YP_009345989.1 ACH96184.1 GrBNV gp83-like protein [Kallithea virus],0.322,,,,,REFSEQ GrBNV_gp83-like protein; Xu

